code,type
255,26
255,83
256,64
256,19
257,68
257,65
258,74
258,60
258,7
258,28
259,16
259,23
259,71
259,82
259,32
260,12
260,53
261,10
262,70
262,38
263,26
263,31
263,67
263,64
263,60
263,73
264,22
265,17
265,60
265,3
266,70
266,41
267,5
267,14
267,33
268,70
269,22
269,71
269,7
269,28
270,31
270,70
270,16
270,74
270,65
271,31
271,70
271,67
271,34
272,70
272,5
272,7
272,12
273,73
274,22
274,31
274,70
274,67
274,7
274,73
275,23
275,14
276,7
276,28
276,62
277,16
277,19
278,45
278,3
278,52
278,53
279,65
279,79
280,68
281,70
281,67
281,74
281,7
282,17
282,70
283,5
283,10
284,22
284,71
284,74
284,37
284,65
284,44
284,49
285,31
285,70
285,67
285,54
285,73
285,61
285,69
285,42
286,26
287,64
287,84
287,56
288,70
289,74
289,76
290,73
290,45
291,6
291,59
292,70
292,74
292,60
293,22
293,70
293,64
293,74
293,60
293,7
293,38
294,31
294,73
294,15
295,5
295,65
295,38
295,63
296,22
296,64
296,74
296,60
296,65
296,44
297,68
297,70
297,48
297,41
298,74
298,60
298,28
298,32
299,65
300,14
301,26
301,70
302,6
303,5
303,82
303,61
304,68
304,17
304,16
305,23
305,71
305,19
306,31
306,16
306,23
306,5
306,82
306,61
306,50
307,70
308,31
308,70
308,54
308,65
308,82
308,38
308,73
309,16
309,64
310,70
310,53
311,22
311,74
311,60
311,38
311,50
311,59
312,5
313,70
313,64
313,74
314,6
315,26
315,64
316,70
317,70
318,6
318,64
318,44
319,70
319,54
319,73
320,6
320,61
320,59
321,70
321,48
321,51
322,19
323,78
323,5
324,6
324,53
325,22
325,71
325,20
326,22
326,74
326,60
326,7
326,65
326,28
326,62
327,70
327,23
328,6
328,5
329,31
329,70
329,16
329,67
329,74
329,65
330,59
330,2
331,6
331,67
331,76
331,45
332,74
333,64
333,3
333,52
334,31
334,70
335,5
335,74
336,19
337,70
337,74
338,70
338,5
339,5
339,19
340,6
340,23
341,17
341,31
341,70
342,22
342,6
342,70
342,71
344,22
344,71
344,18
345,47
346,23
346,5
346,65
346,19
347,70
347,74
348,70
349,19
350,23
351,57
351,31
351,82
351,61
351,59
352,74
352,50
353,16
353,5
353,33
353,3
354,47
354,45
