code,type
101,30
101,64
101,145
101,150
101,184
102,10
102,39
102,64
102,69
102,73
102,148
102,156
102,169
103,41
103,56
103,64
103,73
103,110
103,113
103,148
103,154
103,185
103,188
104,16
104,56
104,68
104,116
104,148
104,169
104,179
105,3
105,42
105,64
105,124
105,148
105,172
105,184
106,10
106,50
106,63
106,65
106,88
106,97
106,122
106,169
106,183
106,184
107,33
107,42
107,49
107,64
107,110
107,154
107,183
107,184
107,185
108,41
108,67
108,74
108,113
108,148
108,164
108,177
108,188
109,42
109,50
109,57
109,58
109,64
109,86
109,124
109,139
109,154
109,158
109,184
110,64
110,80
111,130
111,150
111,161
111,165
111,187
112,10
112,64
112,110
112,154
112,169
113,55
113,73
113,77
113,106
113,148
113,169
113,172
113,186
114,125
114,174
115,23
115,69
115,73
115,148
115,154
115,177
115,179
115,188
116,110
116,124
117,11
117,60
117,64
117,120
117,148
117,150
117,183
118,56
118,110
118,116
118,169
118,177
119,2
119,14
119,50
119,56
119,73
119,110
119,124
119,148
119,167
119,182
119,185
119,189
120,38
120,165
120,166
121,14
121,97
121,122
121,150
121,184
122,42
122,50
122,64
122,98
122,139
122,143
122,154
122,184
123,3
123,37
123,183
123,188
124,41
124,50
124,63
124,97
124,108
124,120
124,130
124,185
124,188
125,74
125,97
125,108
125,188
125,188
126,24
126,34
126,46
126,64
126,76
126,122
126,164
127,10
127,11
127,17
127,50
127,68
127,74
127,184
127,185
127,186
128,67
128,139
128,140
128,173
128,184
128,187
129,14
129,22
129,24
129,37
129,50
129,85
129,188
130,3
130,10
130,11
130,30
130,34
130,64
130,90
130,95
130,110
130,150
131,48
131,64
131,122
131,144
131,164
132,10
132,110
132,124
132,148
132,167
133,30
133,64
133,94
133,148
134,64
134,110
134,184
135,14
135,56
135,62
135,169
135,186
136,50
136,73
136,116
136,154
136,169
136,188
137,3
137,50
137,63
137,65
137,90
137,95
137,97
137,145
137,164
138,62
138,73
138,110
138,156
138,169
138,170
138,182
138,186
139,3
139,10
139,56
139,108
139,113
139,167
140,2
140,10
140,11
140,14
140,64
140,95
140,110
140,146
140,150
140,179
140,182
141,10
141,23
141,41
141,50
141,64
141,68
141,73
141,110
141,150
141,154
141,184
141,186
142,41
142,50
142,56
142,148
142,179
142,188
143,3
143,64
143,148
144,7
144,29
144,39
144,64
144,109
144,164
144,175
145,3
145,42
145,50
145,57
145,63
145,105
145,128
145,139
145,143
145,149
145,154
145,161
145,184
145,188
146,16
146,31
146,56
146,65
146,110
146,148
146,169
147,14
147,19
147,40
147,56
147,65
147,97
147,104
147,108
147,113
147,148
147,169
147,176
147,185
147,188
147,188
148,41
148,110
149,14
149,20
149,64
149,128
149,167
150,110
150,148
150,185
151,14
151,31
151,39
151,50
151,85
151,108
151,120
151,122
151,143
151,146
151,169
151,176
151,186
152,64
152,78
152,144
152,150
153,56
153,64
153,73
153,108
153,154
153,182
153,188
154,49
154,64
154,110
154,164
155,5
155,41
155,64
155,74
155,110
155,148
156,10
156,110
156,124
157,50
157,105
157,124
157,139
157,154
157,161
157,184
158,64
158,77
158,91
158,156
158,160
158,169
158,186
159,49
159,56
159,99
159,110
159,122
159,124
159,128
159,185
160,64
160,94
160,106
160,148
160,172
161,11
161,42
161,50
161,143
161,184
162,24
162,141
163,8
163,11
163,91
163,142
164,10
164,64
164,183
164,188
165,22
165,73
165,91
165,108
166,64
166,77
166,91
166,156
166,160
166,169
166,186
167,73
167,110
167,148
168,42
168,54
168,143
168,161
169,10
169,50
169,64
169,97
169,166
169,171
169,176
170,14
170,65
170,77
170,91
170,108
170,113
170,152
170,160
170,169
170,186
171,62
171,69
171,109
171,142
171,169
171,171
171,177
171,178
172,62
172,110
172,148
172,169
173,42
173,154
173,161
174,5
174,56
174,64
174,73
174,110
174,124
174,154
174,167
174,169
174,179
174,185
175,62
175,134
176,110
176,154
176,184
176,188
177,38
177,42
178,39
178,41
178,56
178,64
178,108
178,110
178,128
178,148
179,50
179,64
179,106
179,141
179,148
179,164
180,148
180,169
181,10
181,64
181,65
181,109
181,148
181,169
182,10
182,64
182,110
182,148
182,167
183,3
183,50
183,73
183,148
183,169
183,188
184,14
184,85
184,108
184,113
184,120
184,169
185,29
185,50
185,124
186,42
186,63
186,64
186,88
186,97
186,143
186,154
186,161
186,184
187,4
187,10
187,64
187,77
