,no,economic,figure,stratgy,rule,puzzle,party
0,167791,0.7142857142857142,0.3125,0.5555555555555556,1.282051282051282,1.3793103448275863,0.7407407407407407
1,174430,0.0,0.625,1.9444444444444444,1.5384615384615385,1.3793103448275863,0.7407407407407407
2,96848,0.0,0.9375,1.3888888888888888,0.2564102564102564,0.6896551724137931,0.0
3,182028,0.7142857142857142,0.0,0.8333333333333333,0.5128205128205128,0.0,0.0
4,220308,0.7142857142857142,0.625,0.8333333333333333,0.7692307692307693,0.0,0.7407407407407407
5,12333,0.0,0.9375,0.5555555555555556,0.7692307692307693,0.3448275862068966,0.7407407407407407
6,3076,0.3571428571428571,0.0,0.0,0.7692307692307693,0.3448275862068966,0.7407407407407407
7,161936,0.3571428571428571,0.3125,0.2777777777777778,0.5128205128205128,0.6896551724137931,0.37037037037037035
8,173346,0.0,0.3125,0.2777777777777778,0.5128205128205128,0.3448275862068966,0.37037037037037035
9,31260,0.3571428571428571,0.0,0.2777777777777778,1.282051282051282,0.6896551724137931,0.0
10,84876,0.0,0.9375,0.2777777777777778,0.0,1.3793103448275863,0.7407407407407407
11,181289,0.0,0.3125,0.0,0.2564102564102564,0.0,0.0
12,224517,1.0714285714285714,0.3125,0.2777777777777778,0.2564102564102564,0.3448275862068966,0.37037037037037035
13,124742,0.0,0.3125,0.5555555555555556,0.5128205128205128,0.6896551724137931,0.0
14,248562,0.0,0.625,1.3888888888888888,0.2564102564102564,1.0344827586206897,0.0
15,126163,0.0,0.0,0.0,0.7692307692307693,0.0,0.37037037037037035
16,36218,0.3571428571428571,0.0,0.2777777777777778,0.0,0.6896551724137931,0.37037037037037035
17,205637,0.0,0.625,1.3888888888888888,1.0256410256410255,1.0344827586206897,0.37037037037037035
18,251247,0.3571428571428571,0.3125,0.5555555555555556,1.0256410256410255,0.0,0.7407407407407407
19,125153,0.7142857142857142,0.0,0.2777777777777778,0.2564102564102564,0.3448275862068966,0.0
20,35677,0.7142857142857142,0.0,0.5555555555555556,0.5128205128205128,0.0,0.37037037037037035
21,28720,1.0714285714285714,0.3125,0.2777777777777778,0.2564102564102564,0.3448275862068966,0.0
22,120677,1.0714285714285714,0.625,0.2777777777777778,0.5128205128205128,0.0,0.7407407407407407
23,177736,0.3571428571428571,0.3125,0.5555555555555556,0.5128205128205128,0.6896551724137931,0.37037037037037035
24,102680,0.0,0.3125,0.5555555555555556,0.0,0.6896551724137931,0.0
25,148228,0.0,0.3125,0.2777777777777778,0.2564102564102564,0.3448275862068966,0.0
26,128882,0.0,0.0,1.3888888888888888,0.2564102564102564,0.3448275862068966,0.37037037037037035
27,215,0.0,0.0,0.2777777777777778,0.0,1.3793103448275863,0.0
28,102794,0.3571428571428571,0.0,0.2777777777777778,0.7692307692307693,0.3448275862068966,0.0
29,150145,0.0,0.0,0.0,0.0,0.6896551724137931,0.0
30,203993,0.0,0.625,0.2777777777777778,0.5128205128205128,0.0,0.0
31,182874,0.0,0.3125,0.0,0.7692307692307693,0.6896551724137931,0.7407407407407407
32,150376,0.3571428571428571,0.625,1.1111111111111112,0.5128205128205128,0.3448275862068966,0.7407407407407407
33,162886,0.0,0.3125,1.3888888888888888,0.7692307692307693,0.6896551724137931,0.37037037037037035
34,205059,0.0,0.9375,1.6666666666666665,0.5128205128205128,0.6896551724137931,0.0
35,171623,0.3571428571428571,0.9375,0.0,0.7692307692307693,0.0,0.7407407407407407
36,146021,0.0,0.625,0.8333333333333333,0.7692307692307693,0.0,0.0
37,28720,1.0714285714285714,0.3125,0.2777777777777778,0.2564102564102564,0.3448275862068966,0.0
38,40834,0.3571428571428571,0.0,0.0,0.0,0.6896551724137931,0.0
39,117959,0.0,0.625,0.0,0.0,0.0,0.0
40,121921,0.0,1.875,0.8333333333333333,1.282051282051282,0.6896551724137931,0.0
41,4098,1.4285714285714284,0.9375,0.5555555555555556,0.0,1.0344827586206897,0.37037037037037035
42,193738,0.0,0.625,0.2777777777777778,0.0,1.0344827586206897,0.37037037037037035
43,196340,0.0,0.9375,0.2777777777777778,0.5128205128205128,0.3448275862068966,0.7407407407407407
44,46213,0.0,0.0,0.0,0.0,0.0,0.37037037037037035
45,169786,0.3571428571428571,0.9375,1.3888888888888888,1.282051282051282,0.0,0.7407407407407407
46,187645,0.7142857142857142,1.25,0.5555555555555556,1.5384615384615385,0.6896551724137931,0.7407407407407407
47,2651,1.0714285714285714,0.3125,0.8333333333333333,0.0,0.0,0.0
48,175914,1.4285714285714284,0.0,0.8333333333333333,0.0,0.0,0.0
49,62219,0.0,1.25,0.5555555555555556,1.0256410256410255,0.3448275862068966,0.37037037037037035
50,68448,0.0,0.0,0.2777777777777778,0.5128205128205128,0.6896551724137931,0.0
