이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
테라포밍 마스|Terraforming Mars|2016|data/boardgame_strategy/2021/01/29/1611915054-873621_N_80x80_100_5_.jpg|8.222|8.39|Strategy Games|Economic,Environmental,Industry / Manufacturing,Science Fiction,Space Exploration,Territory Building|Closed Drafting,Contracts,Enclosure,End Game Bonuses,Hand Management,Hexagon Grid,Income,Set Collection,Solo / Solitaire Game,Take That,Tech Trees / Tech Tracks,Tile Placement,Turn Order: Progressive,Variable Player Powers,Variable Set-up,Victory Points as a Resource|167791|1|5|120|120|120|12|3.2499
글룸헤이븐|Gloomhaven|2017|data/boardgame_strategy/2021/01/29/1611914795-315436_N_80x80_100_5_.jpg|8.342|9.25|Strategy Games|Adventure,Exploration,Fantasy,Fighting,Miniatures|Action Queue,Action Retrieval,Campaign / Battle Card Driven,Card Play Conflict Resolution,Communication Limits,Cooperative Game,Critical Hits and Failures,Deck Construction,Deck, Bag, and Pool Building,Grid Movement,Hand Management,Hexagon Grid,Legacy Game,Modular Board,Once-Per-Game Abilities,Role Playing,Scenario / Mission / Campaign Game,Simultaneous Action Selection,Solo / Solitaire Game,Storytelling,Variable Player Powers|174430|1|4|120|60|120|14|3.8853
메이지 나이트|Mage Knight Board Game|2011|data/boardgame_strategy/2020/04/02/1585818380-709746_N_80x80_100_5_.jpg|8.215|8.73|Strategy Games|Adventure,Exploration,Fantasy,Fighting|Cooperative Game,Deck, Bag, and Pool Building,Dice Rolling,Grid Movement,Hand Management,Hexagon Grid,Modular Board,Open Drafting,Role Playing,Solo / Solitaire Game,Variable Player Powers|96848|1|4|240|60|240|14|4.3394
쓰루 디 에이지스: 문명에 관한 새로운 이야기|Through the Ages: A New Story of Civilization|2015|wys2/swf_upload/2022/02/24/1645643684643042_lg_N_80x80_100_5_.jpg|8.312|8.75|Strategy Games|Card Game,Civilization,Economic|Action Points,Auction/Bidding,Auction: Dutch,Events,Income,Open Drafting,Take That|182028|2|4|120|120|120|14|4.4264
가이아 프로젝트|Gaia Project|2017|data/boardgame_strategy/2021/03/09/1615274670-490381_N_80x80_100_5_.jpg|8.263|8.74|Strategy Games|Civilization,Economic,Miniatures,Science Fiction,Space Exploration,Territory Building|Contracts,End Game Bonuses,Hexagon Grid,Income,Modular Board,Network and Route Building,Solo / Solitaire Game,Tech Trees / Tech Tracks,Turn Order: Pass Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource|220308|1|4|150|60|150|12|4.3802
황혼의 투쟁|Twilight Struggle|2005|data/boardgame_strategy/2021/02/03/1612344501-765004_N_80x80_100_5_.jpg|8.229|8.48|Strategy Games|Modern Warfare,Political,Wargame|Action/Event,Advantage Token,Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling,Events,Hand Management,Simulation,Simultaneous Action Selection,Sudden Death Ending,Tug of War|12333|2|2|180|120|180|13|3.5994
푸에르토 리코|Puerto Rico|2002|data/boardgame_strategy/2021/12/24/1640328882-556458_N_80x80_100_5_.jpg|8.240|8.40|Strategy Games|City Building,Economic,Farming|Action Drafting,End Game Bonuses,Follow,Hidden Victory Points,Increase Value of Unchosen Resources,Turn Order: Progressive,Variable Phase Order|3076|3|5|150|90|150|12|3.275
팬데믹 레거시: 시즌 1|Pandemic Legacy: Season 1|2015|data/boardgame_strategy/2020/04/02/1585818479-857227_N_80x80_100_5_.png|8.230|8.72|Thematic Games|Environmental,Medical|Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement,Set Collection,Trading,Variable Player Powers|161936|2|4|60|60|60|13|2.8299
7 원더스: 대결|7 Wonders Duel|2015|data/boardgame_strategy/2021/03/09/1615276187-302156_N_80x80_100_5_.png|8.189|8.35|Strategy Games|Ancient,Card Game,City Building,Civilization,Economic|Layering,Open Drafting,Set Collection,Sudden Death Ending,Tug of War,Variable Player Powers|173346|2|2|30|30|30|10|2.2213
아그리콜라|Agricola|2007|data/boardgame_strategy/2021/12/24/1640329018-317029_N_80x80_100_5_.png|8.118|8.27|Strategy Games|Animals,Economic,Farming|Automatic Resource Growth,Closed Drafting,Enclosure,Hand Management,Increase Value of Unchosen Resources,Solo / Solitaire Game,Turn Order: Claim Action,Variable Player Powers,Worker Placement|31260|1|5|150|30|150|12|3.6382
버건디의 성|The Castles of Burgundy|2011|data/boardgame_strategy/2020/04/02/1585818831-183512_N_80x80_100_5_.jpg|8.097|8.28|Strategy Games|Dice,Medieval,Territory Building|Dice Rolling,End Game Bonuses,Grid Coverage,Hexagon Grid,Pattern Building,Set Collection,Tile Placement,Turn Order: Stat-Based,Variable Set-up,Worker Placement with Dice Workers|84876|2|4|90|30|90|12|2.9955
테라 미스티카 빅 박스|Terra Mystica: Big Box|2015|data/boardgame_strategy/2021/12/24/1640329073-893153_N_80x80_100_5_.jpg|8.182|8.66|Strategy Games|Civilization,Economic,Fantasy,Territory Building|Network and Route Building,Variable Player Powers|181289|2|5|150|60|150|12|4
브라스: 버밍엄|Brass: Birmingham|2018|wys2/swf_upload/2022/02/13/1644738474034685_lg_N_80x80_100_5_.jpg|8.144|8.82|Strategy Games|Economic,Industry / Manufacturing,Post-Napoleonic,Transportation|Hand Management,Income,Loans,Market,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Stat-Based,Variable Set-up|224517|2|4|120|60|120|14|3.9128
안드로이드: 넷러너|Android: Netrunner|2012|wys2/swf_upload/2022/04/01/1648822880778532_lg_N_80x80_100_5_.jpg|7.898|8.17|Customizable Games|Bluffing,Card Game,Collectible Components,Science Fiction|Action Points,Deck Construction,Hand Management,Race,Secret Unit Deployment,Take That,Variable Player Powers|124742|2|2|45|45|45|14|3.3973
메이지 나이트: 얼티밋 에디션|Mage Knight: Ultimate Edition|2018|data/boardgame_strategy/2021/12/24/1640329191-62264_N_80x80_100_5_.jpg|7.986|8.79|Strategy Games|Adventure,Exploration,Fantasy,Fighting|Cooperative Game,Deck, Bag, and Pool Building,Dice Rolling,Grid Movement,Hand Management,Modular Board,Open Drafting,Role Playing,Solo / Solitaire Game,Tile Placement,Variable Player Powers|248562|1|5|150|150|150|14|4.6267
촐킨: 마야의 달력|Tzolk'in: The Mayan Calendar|2012|data/boardgame_strategy/2021/02/03/1612346336-782738_N_80x80_100_5_.jpg|7.866|8.08|Strategy Games|Ancient,Civilization,Economic,Farming,Mythology|Bias,End Game Bonuses,Turn Order: Claim Action,Worker Placement|126163|2|4|90|90|90|13|3.672
도미니언|Dominion|2008|data/boardgame_strategy/2021/02/03/1612344032-986124_N_80x80_100_5_.png|7.820|7.95|Strategy Games|Card Game,Medieval|Deck, Bag, and Pool Building,Delayed Purchase,Hand Management,Take That,Variable Set-up|36218|2|4|30|30|30|13|2.3524
아컴 호러: 카드 게임|Arkham Horror: The Card Game|2016|wys2/swf_upload/2022/07/18/1658093520711797_lg_N_80x80_100_5_.jpg|7.865|8.52|Customizable Games|Adventure,Card Game,Collectible Components,Fantasy,Horror,Novel-based|Action Points,Area Movement,Communication Limits,Cooperative Game,Deck Construction,Events,Hand Management,Map Deformation,Modular Board,Push Your Luck,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers|205637|1|2|120|60|120|14|3.5021
버라지|Barrage|2019|wys2/swf_upload/2022/04/26/1650902133768524_lg_N_80x80_100_5_.jpg|7.878|8.57|Strategy Games|Economic,Environmental,Industry / Manufacturing|Action Drafting,Contracts,End Game Bonuses,Income,Network and Route Building,Solo / Solitaire Game,Turn Order: Stat-Based,Variable Player Powers,Variable Set-up,Worker Placement|251247|1|4|120|60|120|14|4.0732
더 갤러리스트|The Gallerist|2015|wys2/swf_upload/2022/01/16/1642264092333367_lg_N_80x80_100_5_.jpg|7.842|8.26|Strategy Games|Economic|Commodity Speculation,Investment,Set Collection,Solo / Solitaire Game,Worker Placement|125153|1|4|150|60|150|13|4.2667
르아브르|Le Havre|2008|data/boardgame_strategy/2021/12/24/1640329356-468430_N_80x80_100_5_.png|7.868|8.20|Strategy Games|City Building,Economic,Industry / Manufacturing,Nautical|Automatic Resource Growth,End Game Bonuses,Increase Value of Unchosen Resources,Loans,Ownership,Solo / Solitaire Game,Worker Placement|35677|1|5|150|30|150|12|3.7321
브래스|Brass: Lancashire|2007|data/boardgame_strategy/2021/12/24/1640329424-901592_N_80x80_100_5_.jpg|7.818|8.34|Strategy Games|Economic,Industry / Manufacturing,Post-Napoleonic,Transportation|Hand Management,Income,Loans,Market,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Stat-Based|28720|2|4|120|60|120|14|3.8625
테라 미스티카|Terra Mystica|2012|data/boardgame_strategy/2021/12/24/1640329478-974134_N_80x80_100_5_.jpg|7.740|8.08|Strategy Games|Civilization,Economic,Fantasy,Territory Building|End Game Bonuses,Hexagon Grid,Income,Increase Value of Unchosen Resources,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Pass Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource|120677|2|5|150|60|150|12|3.9698
오딘을 위하여|A Feast for Odin|2016|data/boardgame_strategy/2021/12/24/1640329574-996804_N_80x80_100_5_.png|7.803|8.22|Strategy Games|Economic,Farming,Industry / Manufacturing,Medieval,Puzzle|Automatic Resource Growth,Dice Rolling,Grid Coverage,Income,Push Your Luck,Solo / Solitaire Game,Tile Placement,Turn Order: Pass Order,Worker Placement|177736|1|4|120|30|120|12|3.8449
트라야누스|Trajan|2011|data/boardgame_strategy/2021/12/24/1640329639-798299_N_80x80_100_5_.png|7.772|8.22|Strategy Games|Ancient,Political|Area Movement,Hand Management,Mancala,Open Drafting,Set Collection|102680|2|4|120|60|120|12|3.653
스플렌더|Splendor|2014|data/boardgame_strategy/2021/12/24/1640329799-345514_N_80x80_100_5_.png|7.629|7.71|Family Games|Card Game,Economic,Renaissance|Contracts,Open Drafting,Race,Set Collection|148228|2|4|30|30|30|10|1.7867
레지스탕스: 아발론|The Resistance: Avalon|2012|data/boardgame_strategy/2022/01/02/1641052726-191444_N_80x80_100_5_.png|7.757|7.93|Party Games|Bluffing,Card Game,Deduction,Fantasy,Medieval,Negotiation,Party Game,Spies/Secret Agents|Finale Ending,Hidden Roles,Roles with Asymmetric Information,Simultaneous Action Selection,Team-Based Game,Traitor Game,Variable Player Powers,Voting|128882|5|10|30|30|30|13|1.7585
티츄|Tichu|1991|data/boardgame_strategy/2022/01/02/1641052786-66356_N_80x80_100_5_.jpg|7.783|7.96|Strategy Games|Card Game|Hand Management,Ladder Climbing,Predictive Bid,Team-Based Game,Trick-taking|215|4|4|60|60|60|10|2.3351
카베르나: 동굴 속 농부들|Caverna: The Cave Farmers|2013|data/boardgame_strategy/2022/01/02/1641052902-574172_N_80x80_100_5_.png|7.753|8.24|Strategy Games|Animals,Economic,Fantasy,Farming|Automatic Resource Growth,Increase Value of Unchosen Resources,Solo / Solitaire Game,Tile Placement,Turn Order: Claim Action,Worker Placement|102794|1|7|210|30|210|12|3.7864
스컬킹|Skull King|2013|wys2/swf_upload/2022/01/29/164344154246608_lg_N_80x80_100_5_.png|7.787|8.07|Family Games|Card Game,Nautical,Pirates|Predictive Bid,Trick-taking|150145|2|8|30|30|30|8|1.6871
위대한 로렌초|Lorenzo il Magnifico|2016|data/boardgame_strategy/2022/01/02/1641053047-261202_N_80x80_100_5_.jpg|7.769|8.20|Strategy Games|Renaissance|Dice Rolling,Open Drafting,Variable Player Powers,Worker Placement,Worker Placement with Dice Workers|203993|2|4|120|60|120|12|3.3
그랜드 오스트리아 호텔|Grand Austria Hotel|2015|wys2/swf_upload/2022/09/06/1662468056141295_lg_N_80x80_100_5_.jpeg|7.715|8.09|Strategy Games|Card Game,Dice,Economic|Action Drafting,Contracts,Dice Rolling,End Game Bonuses,Hand Management,Once-Per-Game Abilities,Set Collection,Variable Set-up|182874|2|4|120|60|120|12|3.218
데드 오브 윈터 : 크로스로드 게임|Dead of Winter: A Crossroads Game|2014|data/boardgame_strategy/2021/02/17/1613556418-228159_N_80x80_100_5_.jpg|7.641|7.75|Thematic Games|Bluffing,Deduction,Horror,Zombies|Action Points,Area Movement,Dice Rolling,Hand Management,Narrative Choice / Paragraph,Push Your Luck,Semi-Cooperative Game,Storytelling,Trading,Traitor Game,Variable Player Powers,Voting|150376|2|5|120|60|120|13|3.0134
정령섬|Spirit Island|2017|wys2/swf_upload/2022/02/05/1643996146727365_lg_N_80x80_100_5_.jpg|7.696|8.34|Strategy Games|Fantasy,Fighting,Mythology,Territory Building|Action Retrieval,Area Majority / Influence,Automatic Resource Growth,Campaign / Battle Card Driven,Cooperative Game,Hand Management,Modular Board,Set Collection,Simultaneous Action Selection,Solo / Solitaire Game,Variable Player Powers,Variable Set-up|162886|1|4|120|90|120|13|4.0529
광기의 저택 (2판)|Mansions of Madness: Second Edition|2016|data/boardgame_strategy/2021/01/29/1611914705-283075_N_80x80_100_5_.png|7.674|8.06|Thematic Games|Adventure,Exploration,Fantasy,Fighting,Horror,Miniatures,Murder/Mystery,Puzzle|Area Movement,Cooperative Game,Dice Rolling,Hand Management,Map Addition,Modular Board,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Stat Check Resolution,Team-Based Game,Traitor Game,Variable Player Powers|205059|1|5|180|120|180|14|2.6667
마르코 폴로|The Voyages of Marco Polo|2015|data/boardgame_strategy/2022/01/02/1641053223-571422_N_80x80_100_5_.png|7.694|7.96|Strategy Games|Dice,Economic,Medieval,Travel|Contracts,Dice Rolling,Income,Point to Point Movement,Resource to Move,Turn Order: Claim Action,Variable Player Powers,Variable Set-up,Worker Placement with Dice Workers|171623|2|4|100|40|100|12|3.188
엘드리치 호러|Eldritch Horror|2013|data/boardgame_strategy/2021/02/09/1612856228-607951_N_80x80_100_5_.jpg|7.620|7.86|Thematic Games|Adventure,Fantasy,Fighting,Horror,Novel-based,Travel|Action Points,Cooperative Game,Dice Rolling,Point to Point Movement,Role Playing,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers|146021|1|8|240|120|240|14|3.3214
브라스: 랭커셔|Brass: Lancashire|2017|wys2/swf_upload/2022/02/13/1644738734859248_lg_N_80x80_100_5_.jpg|7.716|8.57|Strategy Games|Economic,Industry / Manufacturing,Post-Napoleonic,Transportation|Hand Management,Income,Loans,Market,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Stat-Based|28720|2|4|120|60|120|14|3.8625
도미니언: 장막뒤의 사람들|Dominion: Intrigue|2009|data/boardgame_strategy/2021/02/09/1612857636-254801_N_80x80_100_5_.jpg|7.713|8.05|Strategy Games|Card Game,Medieval|Deck, Bag, and Pool Building,Delayed Purchase,Hand Management|40834|2|6|30|30|30|13|2.4186
라스베가스|Las Vegas|2012|wys2/swf_upload/2022/06/16/1655381471867279_lg_N_80x80_100_5_.jpg|7.650|7.80|Family Games|Dice|Area Majority / Influence,Dice Rolling|117959|2|5|30|30|30|8|1.1823
로빈슨 크루소 : 저주받은 섬에서의 모험|Robinson Crusoe: Adventures on the Cursed Island|2012|data/boardgame_strategy/2022/01/02/1641053447-871683_N_80x80_100_5_.jpg|7.564|7.87|Thematic Games|Adventure,Exploration,Fighting,Novel-based,Territory Building|Action Queue,Area Movement,Cooperative Game,Dice Rolling,Die Icon Resolution,Events,Hexagon Grid,Map Addition,Movement Points,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Tile Placement,Turn Order: Progressive,Variable Player Powers,Worker Placement|121921|1|4|120|60|120|14|3.8038
증기의 시대|Age of Steam|2002|wys2/swf_upload/2022/01/14/1642087800898375_lg_N_80x80_100_5_.png|7.670|8.23|Strategy Games|Economic,Trains,Transportation|Auction/Bidding,Catch the Leader,Connections,Dice Rolling,Loans,Network and Route Building,Pick-up and Deliver,Player Elimination,Scenario / Mission / Campaign Game,Selection Order Bid,Tile Placement,Turn Order: Auction,Victory Points as a Resource|4098|1|6|120|120|120|13|3.892
그레이트 웨스턴 트레일|Great Western Trail|2016|data/boardgame_strategy/2021/02/03/1612343099-763945_N_80x80_100_5_.jpg|7.665|8.02|Strategy Games|American West,Animals,Economic|Deck, Bag, and Pool Building,Hand Management,Ownership,Point to Point Movement,Set Collection,Track Movement,Variable Set-up|193738|2|4|150|75|150|12|3.7029
요코하마|Yokohama|2016|data/boardgame_strategy/2022/01/02/1641053597-108589_N_80x80_100_5_.png|7.668|8.13|Strategy Games|Economic|Contracts,End Game Bonuses,Grid Movement,Modular Board,Network and Route Building,Set Collection,Variable Set-up,Worker Placement,Worker Placement, Different Worker Types|196340|2|4|90|90|90|14|3.2913
텔레스트레이션|Telestrations|2009|data/boardgame_strategy/2021/02/08/1612776506-940790_N_80x80_100_5_.jpg|7.637|7.92|Party Games|Humor,Party Game,Real-time|Paper-and-Pencil|46213|4|8|30|30|30|12|1.0746
사이드|Scythe|2016|wys2/swf_upload/2022/01/14/164209067354874_lg_N_80x80_100_5_.png|7.573|8.06|Strategy Games|Economic,Fighting,Science Fiction,Territory Building|Card Play Conflict Resolution,Contracts,End Game Bonuses,Force Commitment,Grid Movement,Hexagon Grid,King of the Hill,Movement Points,Narrative Choice / Paragraph,Solo / Solitaire Game,Take That,Tech Trees / Tech Tracks,Variable Player Powers,Variable Set-up,Victory Points as a Resource,Zone of Control|169786|1|5|115|90|115|14|3.4325
스타워즈: 리벨리온|Star Wars: Rebellion|2016|data/boardgame_strategy/2022/01/02/1641053707-671590_N_80x80_100_5_.jpg|7.634|9.06|Thematic Games|Civil War,Miniatures,Movies / TV / Radio theme,Science Fiction,Space Exploration,Wargame|Area Majority / Influence,Area Movement,Area-Impulse,Card Play Conflict Resolution,Contracts,Delayed Purchase,Dice Rolling,Die Icon Resolution,Events,Hand Management,Hidden Movement,Income,Once-Per-Game Abilities,Simulation,Take That,Team-Based Game,Variable Player Powers,Variable Set-up|187645|2|4|240|180|240|14|3.7315
파워 그리드|Power Grid|2004|data/boardgame_strategy/2022/01/02/1641053821-17008_N_80x80_100_5_.png|7.632|7.92|Strategy Games|Economic,Industry / Manufacturing|Auction/Bidding,Auction: Turn Order Until Pass,Catch the Leader,Income,Market,Network and Route Building,Turn Order: Stat-Based|2651|2|6|120|120|120|12|3.2619
푸드 체인 거물|Food Chain Magnate|2015|data/boardgame_strategy/2021/01/29/1611915854-134520_N_80x80_100_5_.jpg|7.582|8.14|Strategy Games|Economic,Industry / Manufacturing|Delayed Purchase,Income,Market,Modular Board,Open Drafting,Simultaneous Action Selection,Victory Points as a Resource|175914|2|5|240|120|240|14|4.2078
도미넌트 스피시즈|Dominant Species|2010|data/boardgame_strategy/2022/01/02/1641053998-43749_N_80x80_100_5_.png|7.534|8.19|Strategy Games|Animals,Environmental,Prehistoric|Action Queue,Area Majority / Influence,End Game Bonuses,Grid Movement,Hexagon Grid,Map Addition,Open Drafting,Take That,Tile Placement,Turn Order: Claim Action,Variable Player Powers,Worker Placement|62219|2|6|240|120|240|14|4.0436
7 원더스|7 Wonders|2010|data/boardgame_strategy/2021/02/17/1613556513-747211_N_80x80_100_5_.jpg|7.536|7.67|Strategy Games|Ancient,Card Game,City Building,Civilization,Economic|Closed Drafting,Hand Management,Set Collection,Simultaneous Action Selection,Variable Player Powers|68448|2|7|30|30|30|10|2.3233
팬데믹 레거시: 시즌 2|Pandemic Legacy: Season 2|2017|wys2/swf_upload/2022/01/29/1643448054499515_lg_N_80x80_100_5_.jpg|7.587|8.42|Thematic Games|Environmental,Exploration,Medical|Cooperative Game,Hand Management,Legacy Game,Pick-up and Deliver,Point to Point Movement,Set Collection,Trading,Variable Player Powers|221107|2|4|60|60|60|14|3.2519
클랜 오브 칼레도니아|Clans of Caledonia|2017|data/boardgame_strategy/2021/03/09/1615279663-425228_N_80x80_100_5_.png|7.575|8.14|Strategy Games|Economic,Farming|Commodity Speculation,Contracts,Dice Rolling,Market,Modular Board,Network and Route Building,Solo / Solitaire Game,Turn Order: Pass Order,Variable Player Powers,Variable Set-up|216132|1|4|120|30|120|12|3.4674
테라포밍 마스: 서곡|Terraforming Mars: Prelude|2018|data/boardgame_strategy/2022/01/02/1641054235-671890_N_80x80_100_5_.png|7.605|8.50|Strategy Games|Expansion for Base-game,Economic,Environmental,Industry / Manufacturing,Science Fiction|Hand Management,Open Drafting,Tile Placement|247030|1|5|120|90|120|12|2.518
모던아트|Modern Art|2017|data/boardgame_strategy/2022/01/02/1641054304-233607_N_80x80_100_5_.png|7.579|7.86|Strategy Games|Card Game,Economic|Auction/Bidding,Auction: English,Auction: Once Around,Auction: Sealed Bid,Auction: Turn Order Until Pass,Commodity Speculation,Hand Management,Victory Points as a Resource|118|3|5|45|45|45|10|2.2957
케일러스|Caylus|2005|data/boardgame_strategy/2022/01/02/1641054374-740103_N_80x80_100_5_.jpg|7.567|8.10|Strategy Games|City Building,Economic,Medieval|Action Queue,Ownership,Turn Order: Claim Action,Turn Order: Pass Order,Variable Set-up,Worker Placement|18602|2|5|150|60|150|12|3.801
모던아트|Modern Art|1992|data/boardgame_strategy/2022/01/02/1641054431-214126_N_80x80_100_5_.png|7.536|7.80|Strategy Games|Card Game,Economic|Auction/Bidding,Auction: English,Auction: Once Around,Auction: Sealed Bid,Auction: Turn Order Until Pass,Commodity Speculation,Hand Management,Victory Points as a Resource|118|3|5|45|45|45|10|2.2957
시즌스|Seasons|2012|wys2/swf_upload/2022/02/24/164564365971421_lg_N_80x80_100_5_.jpg|7.368|7.61|Strategy Games|Card Game,Fantasy|Closed Drafting,Dice Rolling,Hand Management,Open Drafting,Take That,Victory Points as a Resource|108745|2|4|60|60|60|14|2.7781
반지 전쟁 (2판)|War of the Ring: Second Edition|2012|wys2/swf_upload/2022/02/24/1645698686644301_lg_N_80x80_100_5_.jpg|7.467|8.63|Thematic Games|Adventure,Fantasy,Fighting,Novel-based,Territory Building,Wargame|Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Card Play Conflict Resolution,Dice Rolling,Events,Hand Management,Hidden Movement,Movement Points,Simulation,Team-Based Game,Variable Set-up|115746|2|4|180|150|180|13|4.187
마작|Mahjong|1850|wys2/swf_upload/2022/06/04/165431630336273_lg_N_80x80_100_5_.jpg|7.532|8.29|Abstract Strategy Games|Abstract Strategy|Hand Management,Set Collection|2093|3|4|120|120|120|8|2.5717
다섯 부족|Five Tribes|2014|wys2/swf_upload/2022/02/08/1644308529331100_lg_N_80x80_100_5_.jpg|7.492|7.85|Strategy Games|Arabian,Fantasy,Mythology|Auction/Bidding,Constrained Bidding,End Game Bonuses,Hidden Victory Points,Mancala,Modular Board,Set Collection,Square Grid,Take That,Turn Order: Auction,Variable Player Powers,Variable Set-up,Victory Points as a Resource|157354|2|4|80|40|80|13|2.853
테오티우아칸: 신들의 도시|Teotihuacan: City of Gods|2018|data/boardgame_strategy/2021/02/03/1612343751-953565_N_80x80_100_5_.jpg|7.479|8.00|Strategy Games|Ancient|Area Movement,Rondel,Set Collection,Solo / Solitaire Game,Tile Placement,Track Movement,Variable Set-up,Worker Placement with Dice Workers|229853|1|4|120|90|120|14|3.779
러시안 레일로드|Russian Railroads|2013|data/boardgame_strategy/2022/01/02/1641054676-650342_N_80x80_100_5_.jpg|7.439|7.88|Strategy Games|Industry / Manufacturing,Trains|End Game Bonuses,Worker Placement|144733|2|4|120|90|120|12|3.4086
알케미스트|Alchemists|2014|wys2/swf_upload/2022/02/15/16448614209349_lg_N_80x80_100_5_.jpg|7.493|7.93|Strategy Games|Deduction,Fantasy|Action Drafting,Constrained Bidding,Deduction,End Game Bonuses,Events,Hand Management,Open Drafting,Turn Order: Progressive|161970|2|4|120|120|120|13|3.9158
비티컬처 에센셜 에디션|Viticulture Essential Edition|2015|data/boardgame_strategy/2022/01/02/1641054846-206172_N_80x80_100_5_.jpg|7.481|7.90|Strategy Games|Economic,Farming|Contracts,Hand Management,Solo / Solitaire Game,Turn Order: Auction,Victory Points as a Resource,Worker Placement,Worker Placement, Different Worker Types|183394|1|6|90|45|90|13|2.8877
빌리지|Village|2011|wys2/swf_upload/2022/01/14/1642094339684963_lg_N_80x80_100_5_.jpg|7.480|7.86|Strategy Games|Farming,Medieval|Area Majority / Influence,Contracts,Set Collection,Turn Order: Claim Action,Worker Placement,Worker Placement, Different Worker Types|104006|2|4|90|60|90|12|3.0716
뤄양의 사람들|At the Gates of Loyang|2009|data/boardgame_strategy/2022/01/02/1641054947-429146_N_80x80_100_5_.png|7.472|7.84|Strategy Games|Economic,Farming|Contracts,Income,Loans,Market,Open Drafting,Set Collection,Solo / Solitaire Game,Turn Order: Progressive|39683|1|4|120|60|120|10|3.1226
비뉴스 디럭스 에디션|Vinhos: Deluxe Edition|2016|data/boardgame_strategy/2022/01/02/1641055038-36239_N_80x80_100_5_.png|7.485|8.41|Strategy Games|Economic,Industry / Manufacturing|Area Majority / Influence,Variable Phase Order,Worker Placement|175640|1|4|135|60|135|14|4.0548
오를레앙|Orléans|2014|wys2/swf_upload/2022/01/31/1643613546919342_lg_N_80x80_100_5_.png|7.467|7.97|Strategy Games|Medieval,Religious,Travel|Contracts,Deck, Bag, and Pool Building,End Game Bonuses,Events,Point to Point Movement,Simultaneous Action Selection,Tech Trees / Tech Tracks,Turn Order: Progressive,Variable Set-up|164928|2|4|90|90|90|12|3.0376
에이언즈 엔드|Aeon's End|2016|wys2/swf_upload/2022/01/14/1642095022152217_lg_N_80x80_100_5_.jpg|7.432|8.11|Strategy Games|Card Game,Fantasy,Fighting,Science Fiction|Chit-Pull System,Cooperative Game,Deck, Bag, and Pool Building,Delayed Purchase,Hand Management,Open Drafting,Solo / Solitaire Game,Variable Phase Order,Variable Player Powers,Variable Set-up|191189|1|4|60|60|60|14|2.7921
콩코르디아|Concordia|2013|data/boardgame_strategy/2022/01/02/1641055279-463639_N_80x80_100_5_.png|7.417|7.85|Strategy Games|Ancient,Economic,Nautical|Action Retrieval,Advantage Token,Auction: Dutch,Deck, Bag, and Pool Building,End Game Bonuses,Hand Management,Hidden Victory Points,Movement Points,Open Drafting,Point to Point Movement,Set Collection,Variable Set-up|124361|2|5|100|100|100|13|3.0065
티켓 투 라이드 - 유럽|Ticket to Ride: Europe|2005|data/boardgame_strategy/2022/01/02/1641055353-524302_N_80x80_100_5_.png|7.425|7.61|Family Games|Trains|Connections,End Game Bonuses,Hand Management,Network and Route Building,Open Drafting,Push Your Luck,Set Collection|14996|2|5|60|30|60|8|1.9259
윙스팬|Wingspan|2019|wys2/swf_upload/2022/01/13/1642061418457210_lg_N_80x80_100_5_.png|7.395|7.80|Strategy Games|Animals,Card Game,Educational|Contracts,Dice Rolling,End Game Bonuses,Hand Management,Once-Per-Game Abilities,Open Drafting,Set Collection,Solo / Solitaire Game,Turn Order: Progressive|266192|1|5|70|40|70|10|2.4477
반지의 제왕: 가운데땅 여정|The Lord of the Rings: Journeys in Middle-Earth|2019|data/boardgame_strategy/2021/01/25/1611517151-581782_N_80x80_100_5_.jpg|7.417|8.16|Thematic Games|Adventure,Fantasy,Fighting,Miniatures,Novel-based|Campaign / Battle Card Driven,Cooperative Game,Deck, Bag, and Pool Building,Modular Board,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers|269385|1|5|120|60|120|14|2.6098
워 체스트|War Chest|2018|wys2/swf_upload/2022/02/10/1644486843821327_lg_N_80x80_100_5_.jpg|7.411|8.02|Abstract Strategy Games|Abstract Strategy,Medieval,Wargame|Area Majority / Influence,Deck, Bag, and Pool Building,Delayed Purchase,Grid Movement,Hand Management,Hexagon Grid,Scenario / Mission / Campaign Game,Take That,Team-Based Game,Turn Order: Claim Action,Variable Player Powers|249259|2|4|30|30|30|14|2.3038
