이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
던전 앤 드래곤 미니어쳐|Dungeons & Dragons Miniatures|2003|data/boardgame_strategy/2014/08/07/1407411010-809047_N_80x80_100_5_.png|6.708|8.00|Customizable Games|Adventure,Collectible Components,Fantasy,Fighting,Miniatures|Dice Rolling,Role Playing|7929|2|2|60|60|60|12|2.5667
숲 속의 여우|The Fox in the Forest|2017|data/boardgame_strategy/2021/03/09/1615272559-61098_N_80x80_100_5_.png|6.696|6.56|Family Games|Animals,Card Game,Fantasy|Hand Management,Trick-taking|221965|2|2|30|30|30|10|1.5783
왕들의 계곡|Valley of the Kings|2014|wys2/swf_upload/2022/01/30/1643480180051202_lg_N_80x80_100_5_.jpg|6.707|7.33|Strategy Games|Ancient,Card Game,Mythology,Religious|Deck, Bag, and Pool Building,Hand Management,Open Drafting,Set Collection|150999|2|4|45|45|45|14|2.184
파이 말 플라우멘|Plums|2015|wys2/swf_upload/2022/01/30/1643480288084052_lg_N_80x80_100_5_.jpg|6.706|7.26|Family Games|Card Game|Auction/Bidding,Open Drafting,Set Collection,Trick-taking|181761|3|5|40|30|40|8|1.7949
비티컬처: 컬렉터스 에디션|Viticulture: Complete Collector's Edition|2014|wys2/swf_upload/2022/01/30/1643480563022403_lg_N_80x80_100_5_.jpg|6.708|8.00|Strategy Games|Economic,Farming|Hand Management,Worker Placement|156455|1|6|90|45|90|14|3.32
런던 드레드|London Dread|2016|wys2/swf_upload/2022/04/03/164897780615448_lg_N_80x80_100_5_.jpg|6.708|8.00|Thematic Games|Horror,Murder/Mystery,Real-time|Cooperative Game,Simultaneous Action Selection,Variable Player Powers|178134|2|4|90|60|90|14|2.875
네페르티티|Nefertiti|2008|wys2/swf_upload/2022/01/30/1643480623058695_lg_N_80x80_100_5_.jpg|6.708|8.14|Strategy Games|Ancient|Auction/Bidding,Set Collection|35435|3|4|45|45|45|10|2.3529
엑스트: 더 게임 - 잊혀진 섬|Exit: The Game – The Forgotten Island|2017|data/boardgame_strategy/2018/01/22/1516583841-67772.gif|6.707|7.23|Thematic Games|Deduction,Puzzle,Real-time|Cooperative Game|215841|1|4|90|45|90|12|2.6579
나누크|Nanuk|2009|data/boardgame_strategy/2013/06/19/1371649978-432530_N_80x80_100_5_.jpg|6.708|8.33|Party Games|Animals,Bluffing,Card Game|Auction/Bidding,Push Your Luck,Set Collection,Team-Based Game|54433|5|8|45|45|45|0|1.537
아니마: 비욘드 굿 앤 이블|Anima: Beyond Good and Evil|2008|data/boardgame_strategy/2013/11/15/1384451225-808043_N_80x80_100_5_.jpg|6.708|7.03|Thematic Games|Card Game,Fantasy|Dice Rolling,Hand Management,Open Drafting|40483|2|4|60|60|60|0|2.3103
제국의 투쟁: 디럭스 에디션|Struggle of Empires|2020|wys2/swf_upload/2022/01/16/1642263438479985_lg_N_80x80_100_5_.png|6.708|8.20|Strategy Games|Age of Reason,Civilization,Fighting,Political,Territory Building|Alliances,Area Majority / Influence,Area Movement,Auction/Bidding,Dice Rolling|9625|2|7|240|180|240|13|3.5915
최후의 한명까지|'Eres To You Fuzzy Wuzzy: Colonial Wargames Rules|2009|data/boardgame_strategy/2017/07/09/1499527637-945759.gif|6.708|8.00|Wargames|Miniatures,Post-Napoleonic,Wargame|Dice Rolling,Measurement Movement,Simulation|269226|2|0|120|60|120|14|0
골드브류|Goldbräu|2004|wys2/swf_upload/2022/01/30/1643480724295091_lg_N_80x80_100_5_.jpg|6.708|8.00|Strategy Games|Economic|Area Majority / Influence,Simultaneous Action Selection,Stock Holding|12632|3|4|60|60|60|10|2.5185
큐비스트|Cubist|2014|wys2/swf_upload/2022/04/22/165055803648833_lg_N_80x80_100_5_.jpg|6.706|7.20|Family Games|Dice,Educational,Puzzle|Dice Rolling,Hand Management,Pattern Building,Pattern Recognition|147431|2|4|45|30|45|7|1.8974
해리 포터: 호그와트 전투|Harry Potter: Hogwarts Battle|2016|wys2/swf_upload/2022/03/25/1648208882932487_lg_N_80x80_100_5_.jpg|6.705|6.83|Thematic Games|Card Game,Fantasy,Movies / TV / Radio theme,Novel-based|Cooperative Game,Deck, Bag, and Pool Building,Scenario / Mission / Campaign Game,Variable Player Powers|199042|2|4|60|30|60|11|2.0845
양과 양|Sheep 'n' Sheep|2017|wys2/swf_upload/2022/02/11/16445542804494_lg_N_80x80_100_5_.png|6.706|7.08|Wargames|Animals,Card Game|End Game Bonuses,Hand Management,Open Drafting,Pattern Building,Set Collection,Tile Placement|225977|2|4|30|20|30|8|2.1667
키 하베스트|Key Harvest|2007|wys2/swf_upload/2022/01/30/1643480785744896_lg_N_80x80_100_5_.jpg|6.708|7.57|Strategy Games|Farming,Medieval,Territory Building|Auction/Bidding,Set Collection,Tile Placement,Worker Placement|29839|2|4|90|90|90|10|3.0263
드래곤스 골드|Dragon's Gold|2001|wys2/swf_upload/2022/04/12/1649733770627115_lg_N_80x80_100_5_.jpg|6.705|6.81|Family Games|Bluffing,Card Game,Fantasy,Fighting,Negotiation|Hand Management,Set Collection,Take That,Trading|1042|3|6|45|45|45|12|1.696
피자로와 협력자|Pizarro & Co.|2002|wys2/swf_upload/2022/01/30/164348086736504_lg_N_80x80_100_5_.jpg|6.708|8.00|Strategy Games|Exploration,Renaissance|Auction/Bidding|3267|3|6|45|45|45|12|2.4493
뱅!: 워킹 데드|BANG!: The Walking Dead|2014|data/boardgame_strategy/2014/10/17/1413556970-496679_N_80x80_100_5_.png|6.708|8.00|Party Games|Bluffing,Card Game,Deduction,Fighting,Zombies|Hand Management,Player Elimination,Team-Based Game,Variable Player Powers|160567|4|7|30|30|30|13|1.8
[리댁티드]|[redacted]|2014|data/boardgame_strategy/2015/02/06/1423201171-362426_N_80x80_100_5_.png|6.708|7.41|Thematic Games|Bluffing,Spies/Secret Agents|Area Movement,Hand Management,Hidden Roles,Rock-Paper-Scissors,Team-Based Game|161578|2|6|45|45|45|12|2.925
케이블 카|Cable Car|2009|wys2/swf_upload/2022/01/30/1643480936826135_lg_N_80x80_100_5_.jpg|6.708|8.00|Family Games|Trains|Connections,Network and Route Building,Stock Holding,Tile Placement|58602|2|6|45|30|45|8|1.8108
망자의 날|Four Dragons|2000|wys2/swf_upload/2022/01/30/164348103475349_lg_N_80x80_100_5_.jpg|6.704|9.00|Strategy Games|Card Game,Deduction,Horror|Team-Based Game,Trick-taking|950|3|4|30|30|30|12|2.3556
향료 상인|Spice Merchant|2012|wys2/swf_upload/2022/07/16/165796558488827_lg_N_80x80_100_5_.jpg|6.707|7.33|Party Games|Card Game,Economic|Betting and Bluffing,Commodity Speculation,Hand Management,Secret Unit Deployment|130242|3|4|15|15|15|8|1.2
